RESPIRA_CALIBRACION_TECNICA
app_version,1.0.0
calibration_export_schema_version,2.4.0
firmware_version,
device_id,
exported_at,2026-06-03T01:07:42.184Z
# RESPIRA_METADATA_COMPACT
metadata_key,metadata_value
calibration_type,technical
spirometer_type,3000mL
created_at,2026-06-03T01:07:42.184Z
model_type,linear
slope,28.66324925966009
intercept,-523.8262554875091
r_squared,0.9921507156019185
mae_ml,65.3584603289124
rmse_ml,72.40909257669948
max_abs_error_ml,105.96824752365251
points_count,40

point_index,reference_volume_ml,distance_mm,filtered_distance_mm,estimated_volume_ml,error_ml,abs_error_ml,timestamp
1,500,31.1,31.1,367.6008,-132.3992,132.3992,1970-01-01T00:08:10.577Z
2,500,38.8,38.8,588.3078,88.3078,88.3078,1970-01-01T00:08:12.477Z
3,500,38.85,38.85,589.7410,89.7410,89.7410,1970-01-01T00:08:13.304Z
4,500,38.5,38.5,579.7088,79.7088,79.7088,1970-01-01T00:08:14.104Z
5,500,39.1,39.1,596.9068,96.9068,96.9068,1970-01-01T00:08:59.847Z
6,750,41,41,651.3670,-98.6330,98.6330,1970-01-01T00:14:00.067Z
7,750,47.15,47.15,827.6459,77.6459,77.6459,1970-01-01T00:14:01.167Z
8,750,48.95,48.95,879.2398,129.2398,129.2398,1970-01-01T00:14:02.167Z
9,750,50.35,50.35,919.3683,169.3683,169.3683,1970-01-01T00:14:03.067Z
10,750,38.5,38.5,579.7088,-170.2912,170.2912,1970-01-01T00:14:16.948Z
11,1000,47.05,47.05,824.7796,-175.2204,175.2204,1970-01-01T00:09:17.128Z
12,1000,57.05,57.05,1111.4121,111.4121,111.4121,1970-01-01T00:09:18.155Z
13,1000,58.9,58.9,1164.4391,164.4391,164.4391,1970-01-01T00:09:19.255Z
14,1000,49.75,49.75,902.1704,-97.8296,97.8296,1970-01-01T00:09:41.263Z
15,1000,57,57,1109.9790,109.9790,109.9790,1970-01-01T00:09:42.163Z
16,1250,59.85,59.85,1191.6692,-58.3308,58.3308,1970-01-01T00:14:27.602Z
17,1250,63.3,63.3,1290.5574,40.5574,40.5574,1970-01-01T00:14:28.502Z
18,1250,63.3,63.3,1290.5574,40.5574,40.5574,1970-01-01T00:14:29.302Z
19,1250,46.75,46.75,816.1806,-433.8194,433.8194,1970-01-01T00:14:41.283Z
20,1250,62,62,1253.2952,3.2952,3.2952,1970-01-01T00:14:42.083Z
21,1500,56.45,56.45,1094.2142,-405.7858,405.7858,1970-01-01T00:10:08.198Z
22,1500,72,72,1539.9277,39.9277,39.9277,1970-01-01T00:10:09.025Z
23,1500,76.7,76.7,1674.6450,174.6450,174.6450,1970-01-01T00:10:10.025Z
24,1500,57.35,57.35,1120.0111,-379.9889,379.9889,1970-01-01T00:10:25.106Z
25,1500,72.05,72.05,1541.3609,41.3609,41.3609,1970-01-01T00:10:26.006Z
26,2000,88.5,88.5,2012.8713,12.8713,12.8713,1970-01-01T00:10:49.241Z
27,2000,94.75,94.75,2192.0166,192.0166,192.0166,1970-01-01T00:10:50.141Z
28,2000,94.35,94.35,2180.5513,180.5513,180.5513,1970-01-01T00:10:50.941Z
29,2000,85.7,85.7,1932.6142,-67.3858,67.3858,1970-01-01T00:11:07.522Z
30,2000,95.3,95.3,2207.7814,207.7814,207.7814,1970-01-01T00:11:08.422Z
31,2500,90.8,90.8,2078.7968,-421.2032,421.2032,1970-01-01T00:11:41.611Z
32,2500,116.6,116.6,2818.3086,318.3086,318.3086,1970-01-01T00:11:42.511Z
33,2500,119.95,119.95,2914.3305,414.3305,414.3305,1970-01-01T00:11:43.411Z
34,2500,94.05,94.05,2171.9523,-328.0477,328.0477,1970-01-01T00:11:59.519Z
35,2500,117.9,117.9,2855.5708,355.5708,355.5708,1970-01-01T00:12:00.419Z
36,3000,112.6,112.6,2703.6556,-296.3444,296.3444,1970-01-01T00:12:19.627Z
37,3000,147.15,147.15,3693.9709,693.9709,693.9709,1970-01-01T00:12:20.527Z
38,3000,108.1,108.1,2574.6710,-425.3290,425.3290,1970-01-01T00:12:40.135Z
39,3000,137.2,137.2,3408.7715,408.7715,408.7715,1970-01-01T00:12:40.835Z
40,3000,96.75,96.75,2249.3431,-750.6569,750.6569,1970-01-01T00:12:59.643Z

# RESPIRA_LEGACY_WIDE_FORMAT
